New column 0,New column 1,New column 2
Ashu,Reviewed in India on 24 November 2016,"This is really the Best Printer for Home use. I gifted it to my uncle and whatever feedback I have got is awesome.
Delivery of Amazon was once again prompt.
Packaging was no doubt very good. Amazon has got the Best Packaging methods.

And the Printer is working well since installation."
sneha motwani,Reviewed in India on 25 April 2018,"Decent product, not very cost effective"
P S R,Reviewed in India on 8 September 2021,Best printer...
Jose,Reviewed in India on 3 July 2020,"The product of HP is good. It's useful for small business team.

For me ink for this printer is expensive"
Shan,Reviewed in India on 2 February 2018,Poor printing quality and waste of money
A muthuraman,Reviewed in India on 11 September 2022,Not user friendly
omparkash jakhar,Reviewed in India on 25 June 2021,INK JYADA USE KRTA HA
Gggff,Reviewed in India on 14 October 2017,Cartridge will finish so fast with in a week
Prasad M.,Reviewed in India on 31 July 2017,Its very nice printer but cartaige ink capacity is so low
Niranjan S Hebbar,Reviewed in India on 10 September 2020,Worth the money invested for easy to install and use to get good print quality.
Rajni Rathore,Reviewed in India on 12 June 2020,Its been hardly 15 days and the printer is giving issue. The cartridge is having ink but no print is coming. Now since the window for return is closed. Cannot return the product also. Please don't buy this instead go for Epson.
Monika chaudhary,Reviewed in India on 7 October 2020,Not so good
Amazon Customer,Reviewed in India on 31 August 2019,I like the printing quality.
sanjay singh rawat,Reviewed in India on 8 November 2020,Disliked
Amazon Customer,Reviewed in India on 29 August 2016,Product is good and fast printing and scanning ability but the ink is getting emptied fast
Mudavath nagaraj,Reviewed in India on 6 December 2019,I just ❤
Sai Kiran,Reviewed in India on 23 October 2020,"Except catridge cost everything is fine,printer perfectly scans prints and xerox with great quality"
mitesh kava,Reviewed in India on 12 October 2016,"Good one, but ink refill is expensive, so not recommend to any one"
B S Yevoor,Reviewed in India on 16 December 2021,Daily I'm facing printing isssue if give print it's coming only blank papers... Pls help Amazon for the issue
Unnati,Reviewed in India on 19 July 2020,The printer comes with a single black cartridge. After only 20-25 prints the cartridge went low on ink and stopped printing. I suggest not to waste money on this product. 20-25 prints and again purchase cartridge. Full waste of money.
Santhosh,Reviewed in India on 7 November 2020,Waste 🖨️
Prab A,Reviewed in India on 17 September 2021,Awesome
Fahu,Reviewed in India on 10 October 2019,Good. Ink finishing fast.
MANJU K.M,Reviewed in India on 14 June 2019,Very quick delivery. Very easy to install. Fast printing. Quick scanning also. N good color.no idea how many prints can take with that cartridge but in first look its worth every penny!
AmAn,Reviewed in India on 19 January 2019,"Very difficult to install, fair ink or printing quality"
PRAKHAR VYAS,Reviewed in India on 10 October 2021,"Printer stopped working within a month And brother, no customer support, no toll free number, nothing works, no service center! I'm very disappointed"
Gautam Paul,Reviewed in India on 24 August 2021,Nice 🙂
Pravnesh saxena,Reviewed in India on 1 May 2022,मेरे लैपटॉप में विंडो7 इंस्टाल है जिसमे ये इंसटाल नही हो रहा
Yamini akanambattu,Reviewed in India on 6 December 2021,The ink in the cartridge finished just for 100 copies.And after filling the ink again also it's not working
AKSHAKUMARAN,Reviewed in India on 28 November 2020,"Just started using the printer.
Hence cannot comment on
Cost per page"
kailash aseri,Reviewed in India on 27 August 2018,Ink cartridges are costly. Cost of cartridge mostly equal to cost of printer
KASTHURI PHILIPSmazon Customer,Reviewed in India on 27 April 2018,Ok the ink drys very fast
Avneesh Awadhiya,Reviewed in India on 18 April 2019,Gives best quality print in photo papers.
Jitendra Parmar,Reviewed in India on 16 November 2017,printer is good but consumes cartridge a lot
Monishankar Paul,Reviewed in India on 4 November 2017,This is good but this refill change many times.
Vishwajeet K.,Reviewed in India on 23 May 2017,I'm satisfied by it. It's a good product in this price and it could be better if it be WiFi enabled.
Vijaykumar,Reviewed in India on 4 June 2019,adapter not included with the printer
IRANNA,Reviewed in India on 7 October 2019,Value for money
Praveen P.,Reviewed in India on 7 November 2019,"Poor quality
HP Worst service from manufacturer
It stopped working with in 3 months
HP rejected service and asking me to take it to somen local technician to check it about catridge dried out or not since I did not used it for few months.
MY PRODUCT IS STILL UNDER WARRANTY."
Amazon Customer,Reviewed in India on 1 August 2021,Good product
SUROJIT SAHA,Reviewed in India on 3 August 2021,Good product. Satisfiable.
Abdul bur,Reviewed in India on 13 April 2021,Good till now more than 2 months
Manab Paul,Reviewed in India on 9 September 2020,Good product and good printing quality and easy used Refill ink and color
arun kumar k,Reviewed in India on 18 July 2018,Cartridge cost is heavier.
Sahara Water Pump,Reviewed in India on 10 January 2019,Good
Stanba Gyaltson,Reviewed in India on 26 September 2021,Excellent
Tripti kumar,Reviewed in India on 2 July 2018,"Printer is good but once my tri-ink catridge was used up, I tried to take a black and white print out though only blank pages came out."
Dhruba,Reviewed in India on 17 August 2018,Nice HP printer
Amazon Customer,Reviewed in India on 18 August 2018,Good. Slow printing
RASHID ALI,Reviewed in India on 11 October 2018,It’s stisffyectry
Amazon Customer,Reviewed in India on 11 June 2021,"Cartridges are very very very little life...
🥴🥴🥴🥴🥴
Poor product
Dont buy...
I am thinking to make the video..
Where I throwing this printer from 5th floor..
- 10 star"
VIGNESH.D.S,Reviewed in India on 13 May 2017,"this ink cartridge is very low capacity only 80 copies of A4 sheets and i am unable to refill the ink but its new cartridge price is nearly Rs.700..
its waste of money
i am very disappointed"
Ajeet Kumar,Reviewed in India on 25 August 2019,I LIKE PRINTING QUALITY
Kashish Shrivastava,Reviewed in India on 20 August 2020,"Really a good product at affordable price,,, literally best for home use and installation is soo easy!"
Anand Maurya,Reviewed in India on 1 March 2020,Different model so on computer 2130 but on the box show 2131 model all rights nothing to change any features thanks to Amazon
Jagdish Prasad,Reviewed in India on 10 November 2020,Dislike
shravan sivakumar,Reviewed in India on 21 February 2022,Printer is not working . Very poor quality. Send person to inspect and replace
manveer singh chouhan,Reviewed in India on 23 January 2018,very bad printer please dont purchase its a waste of money.the images is not clearly printing colour printer is very bad .i am not satisfied with this product worst very bad prinet.
Singh,Reviewed in India on 11 April 2022,Could not connect to my laptop via the Ethernet cable shows error
Sonu Manchanda,Reviewed in India on 11 September 2022,Very bad
shaivya singh,Reviewed in India on 13 September 2021,Good
Deepak,Reviewed in India on 26 May 2019,Very nice to use this product
KATHIRAVAN. k,Reviewed in India on 20 September 2017,Very good printer.nice working. Cannot say cartridge.because i am take only few prints only. But its good quality
Raffiefernandes,Reviewed in India on 15 July 2020,I want my money back
Digvijay Thul,Reviewed in India on 29 January 2020,I haven't got my warrenty card in it.What to do?
Arnab Sen,Reviewed in India on 9 December 2020,"Good product, easy to install and use, happy with amazon delivery services"
sunil verma,Reviewed in India on 25 November 2018,Ok
Vishnu. M,Reviewed in India on 10 August 2021,
Naresh kumar,Reviewed in India on 1 November 2019,Thank hp printer
Shyam N.,Reviewed in India on 27 November 2020,"Since it is not working with my Mack Book can I replace it with HP 2723. I shall pay you difference in cash at the time of delivery and return you full
SHYAM NARAIN SINGH"
YOGABABU L,Reviewed in India on 6 October 2019,Print quality good
Ayush,Reviewed in India on 13 May 2018,The printer qualiti and speed is perefect this is best printer in this cost
Jeswin M John,Reviewed in India on 6 February 2020,Good
Nabajyoti,Reviewed in India on 10 July 2021,Very good to use
Bharathiraja,Reviewed in India on 1 August 2021,Value for money
Neena Sunny,Reviewed in India on 10 January 2022,"After taking a few prints, pages can no longer be printed... sometimes it is too slow..."
CM,Reviewed in India on 25 February 2021,Great for school projects and other homr printing.
